Section,Sub-World,Game/Activity Name,Description/Key Focus
Numeracy,Math World,Counting Fun,Count colourful objects & learn numbers 1–10 (Easy)
Numeracy,Math World,Shape Numbers,Count the sides and corners of shapes (Easy)
Numeracy,Math World,Size Compare,Drag and order items from smallest to largest (Easy)
Numeracy,Math World,Number Match,Match digit numbers to groups of objects (Medium)
Numeracy,Math World,Number Order,Tap numbers in the correct ascending order (Medium)
Numeracy,Math World,Math Stories,Solve math word problems hidden in stories (Medium)
Numeracy,Math World,3D Abacus,Interactive 3D abacus simulation to learn place values (Medium)
Numeracy,Math World,Add & Subtract,Master addition and subtraction arithmetic operations (Hard)
Numeracy,Math World,Times Tables,Beat the clock in timed multiplication rounds (Hard)
Numeracy,Puzzle World,Shape Matching,Match geometric shapes to their corresponding shadows (Easy)
Numeracy,Puzzle World,Jigsaw Puzzles,Drag & drop pieces to complete pictures on a grid (Medium)
Numeracy,Puzzle World,Logic Challenges,Sequential reflection and odd-one-out puzzles (Hard)
Numeracy,Puzzle World,3D Shape Challenge,Spin and observe 3D geometric shapes to solve puzzles (Medium)
Numeracy,Number Adventure,Count Toys Game,Tap animated toys to count them aloud
Numeracy,Number Adventure,Size Comparison,Identify sizes (smallest to largest) across maps
Numeracy,Number Adventure,Interactive Number Line,Guide "Froggy" to jump along number lines (addition/subtraction)
Numeracy,Logic Island,Odd One Out,Find the emoji or item that doesn't fit in the group (Easy)
Numeracy,Logic Island,Pattern Spotter,Detect pattern and choose the next sequence element (Medium)
Numeracy,Logic Island,Maze Runner,Direct characters through visual grid mazes (Medium)
Numeracy,Logic Island,Word Problems,Solve complex real-world math logic stories (Hard)
Numeracy,Logic Island,Multiply Quest,Solve multiplication questions during an epic battle (Hard)
Literacy & Lang,Vocabulary Zone,Picture Match,Listen to words via TTS and match the correct emoji picture
Literacy & Lang,Vocabulary Zone,Word Builder,Rearrange letter buttons in order to spell the word
Literacy & Lang,Vocabulary Zone,Flashcards,Click flashcards to flip and discover definitions
Literacy & Lang,Language Challenges,Alphabet Adventure,Match uppercase letters to their correct lowercase forms
Literacy & Lang,Language Challenges,Sound Matching,Hear animal sound recordings and choose the matching animal
Literacy & Lang,Language Challenges,Object Recognition,Tap the correct object when its name is spoken
Literacy & Lang,Language Challenges,Reading Fluency,Timed reading comprehension passages with dynamic wpm goals
Literacy & Lang,Language Challenges,Phonics Mode,Listen to syllables highlighted as words are spoken
Literacy & Lang,Story / Reading World,The Brave Lion,Guided storybook reading & quiz on Courage (Easy)
Literacy & Lang,Story / Reading World,Magic Forest,Guided storybook reading & quiz on Nature (Medium)
Literacy & Lang,Story / Reading World,Starry Night,Guided storybook reading & quiz on Bedtime routines (Beginner)
Literacy & Lang,Story / Reading World,Neel the Fish,Guided storybook reading & quiz on Adventure (Easy)
Literacy & Lang,Story / Reading World,Priya's Garden,Guided storybook reading & quiz on Nature in Hindi (Hard)
Literacy & Lang,Story / Reading World,The Kind Elephant,Guided storybook reading & quiz on Kindness (Beginner)
Literacy & Lang,Story / Reading World,Milestone E-Activities,Activity milestones catalog for early age developers (0–3 years)
Cognitive & SEL,Brain World,Memory Match,Flip card pairs to find matches under restricted moves
Cognitive & SEL,Brain World,Sequence Builder,Watch and recall color pattern signals (Simon Says style)
Cognitive & SEL,Brain World,Pattern Finder,Spot the odd emoji out from the grid
Cognitive & SEL,Brain World,Space Maze Challenge,Guide a rocket ship safely to a planet obstacle board
Cognitive & SEL,Creativity World,Drawing Pad,Canvas pad with color pallet and brush settings
Cognitive & SEL,Creativity World,Story Creator,Create stickers and stories on panel layouts
Cognitive & SEL,Creativity World,Color Studio,Pick a shape choose a color and paint areas
Cognitive & SEL,Creativity World,My Gallery,Save and view past drawing achievements
Cognitive & SEL,Emotion World,Emotion Check-In,Emoji mood selection with encouraging co-regulation tips
Cognitive & SEL,Emotion World,Emotion Recognition,Scenarios to help identify happy sad angry or scared faces
Cognitive & SEL,Emotion World,Friendship Stories,Empathy choices during social-emotional lunch/play stories
Cognitive & SEL,Emotion World,Kindness Challenge,Daily list of real-world acts of kindness to complete
Cognitive & SEL,Emotion World,Decision Making,Practice choosing honest and cooperative options
Cognitive & SEL,Story Choice World,The Lost Puppy,Branching choice adventure with 3 unique endings
Cognitive & SEL,Story Choice World,The Magic Garden,Branching magic seed narrative with 3 endings
